,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,@USER @USER @USER Helt ærligt I spillede fantastisk! I spillede Fnatic ud af banen igår. Der er bare så stor afstand op til G2. EU sender helt klart det bedste hold til MSI. Håber i kan lære noget af G2 når i hopper ind i summersplit. Held og lykke og god ferie :),[-4.5596833  5.6469116 -3.8464317],[3.6921858e-05 9.9988770e-01 7.5343291e-05]
1,negative,negative,TRUE,"@USER Nu har jeg ikke set straffesparket fra Pokalkampen Fcb-Bremen men har læst at det var skandaløst at den blev dømt. (Kun Bayernfolk der mente den var god nok) men når dommeren er blevet frataget kommende tjanser, og DFB har været ude og undskylde, så er der et kæmpe problem",[ 8.361319 -4.611878 -5.313298],[9.9999654e-01 2.3217265e-06 1.1512983e-06]
2,negative,negative,TRUE,"@USER Det var faktisk kun derfor tweetet blev skrevet, så jeg kunne smide den bombe! 💣",[ 7.8474326 -4.2629423 -5.0210056],[9.9999189e-01 5.5020901e-06 2.5781285e-06]
3,neutral,neutral,TRUE,@USER @USER Præcis... Det er jo FREDENS religion😏,[ 1.1817381  1.2410628 -3.683981 ],[0.48336592 0.51290905 0.00372496]
4,positive,positive,TRUE,Merete Eldrup stopper som topchef i TV 2 [LINK],[-5.149287  -3.6575515  6.1072764],[1.29212995e-05 5.74326259e-05 9.99929667e-01]
5,positive,positive,TRUE,Nordjysk firma står bag Tysklands største solvarmeanlæg [LINK] [LINK],[-4.993122  -4.799419   6.8842883],[6.9454327e-06 8.4299254e-06 9.9998462e-01]
6,neutral,neutral,TRUE,at få elever til at vælge en håndværkeruddannelse kræver at de ser håndværksfagene som en attraktiv vej ind i et spændende arbejdsliv. Heldigvis er det ikke længere lavstatus at være håndværker...... [LINK],[-5.1259503  6.152529  -4.1695795],[1.2641517e-05 9.9995446e-01 3.2896187e-05]
7,positive,positive,TRUE,"@USER @USER Det er vel ikke mediernes opgave at opdrage danskerne til at opføre sig ordentligt ? @USER belyser et problem og en udfordring. Men det er da op til os på stemmesedlen at få gjort noget ved problemet. Thumps up for den leder Tom #dkpol #dkmedier #ftvalg2019 
#krp",[-5.3203635 -4.6957445  7.001673 ],[4.4524791e-06 8.3151535e-06 9.9998724e-01]
8,positive,positive,TRUE,"PET er ikke blevet informeret i en lang række sager om radikaliseringsmistænkte på asylcentre og udrejsecentre. Heller ikke når de er forsvundet fra centrene. 46 er væk, og kun i 3 af sagerne er PET blevet orienteret om det. Samråd på tirsdag #dkpol @USER [LINK]",[-5.2181983 -4.7435904  6.975908 ],[5.0601252e-06 8.1335684e-06 9.9998677e-01]
9,neutral,neutral,TRUE,"@USER Det kan du sige, men med Artikel 13 bliver det jo det samme alle steder som fx også YouTube. Og som privat har man bare ikke det samme resch på sin egen blog",[-0.6544284  2.592851  -3.3755987],[0.03733284 0.9602107  0.00245642]
