,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,@USER @USER @USER Helt ærligt I spillede fantastisk! I spillede Fnatic ud af banen igår. Der er bare så stor afstand op til G2. EU sender helt klart det bedste hold til MSI. Håber i kan lære noget af G2 når i hopper ind i summersplit. Held og lykke og god ferie :),[-5.3040113  5.911713  -3.5485253],[1.3459623e-05 9.9990869e-01 7.7880912e-05]
1,negative,negative,TRUE,"@USER Nu har jeg ikke set straffesparket fra Pokalkampen Fcb-Bremen men har læst at det var skandaløst at den blev dømt. (Kun Bayernfolk der mente den var god nok) men når dommeren er blevet frataget kommende tjanser, og DFB har været ude og undskylde, så er der et kæmpe problem",[ 8.206757  -4.8800664 -4.7407846],[9.9999559e-01 2.0723510e-06 2.3820583e-06]
2,negative,negative,TRUE,"@USER Det var faktisk kun derfor tweetet blev skrevet, så jeg kunne smide den bombe! 💣",[ 8.356132  -4.9693055 -4.8421054],[9.9999642e-01 1.6324296e-06 1.8538611e-06]
3,neutral,neutral,TRUE,@USER @USER Præcis... Det er jo FREDENS religion😏,[-5.251798   6.1222897 -3.864962 ],[1.1488710e-05 9.9994254e-01 4.5979785e-05]
4,positive,positive,TRUE,Merete Eldrup stopper som topchef i TV 2 [LINK],[-5.5562263 -1.9352179  4.887369 ],[2.9101719e-05 1.0876842e-03 9.9888319e-01]
5,positive,positive,TRUE,Nordjysk firma står bag Tysklands største solvarmeanlæg [LINK] [LINK],[-4.846282  -3.9034266  6.2822895],[1.4685883e-05 3.7703074e-05 9.9994767e-01]
6,neutral,neutral,TRUE,at få elever til at vælge en håndværkeruddannelse kræver at de ser håndværksfagene som en attraktiv vej ind i et spændende arbejdsliv. Heldigvis er det ikke længere lavstatus at være håndværker...... [LINK],[-5.2579207  6.130267  -3.8628833],[1.1327871e-05 9.9994302e-01 4.5709352e-05]
7,positive,positive,TRUE,"@USER @USER Det er vel ikke mediernes opgave at opdrage danskerne til at opføre sig ordentligt ? @USER belyser et problem og en udfordring. Men det er da op til os på stemmesedlen at få gjort noget ved problemet. Thumps up for den leder Tom #dkpol #dkmedier #ftvalg2019 
#krp",[-4.6837173 -4.116576   6.33815  ],[1.6339698e-05 2.8810478e-05 9.9995482e-01]
8,positive,positive,TRUE,"PET er ikke blevet informeret i en lang række sager om radikaliseringsmistænkte på asylcentre og udrejsecentre. Heller ikke når de er forsvundet fra centrene. 46 er væk, og kun i 3 af sagerne er PET blevet orienteret om det. Samråd på tirsdag #dkpol @USER [LINK]",[-4.577127  -4.1680756  6.3110213],[1.8677423e-05 2.8116776e-05 9.9995315e-01]
9,positive,neutral,MISS,"@USER Det kan du sige, men med Artikel 13 bliver det jo det samme alle steder som fx også YouTube. Og som privat har man bare ikke det samme resch på sin egen blog",[-4.921347  -1.6169242  4.296652 ],[9.8959848e-05 2.6949544e-03 9.9720603e-01]
10,neutral,neutral,TRUE,"Søndag kl. 12.00 går det løs ude mod Hobro IK på DS Arena.

Nicolai Poulsen er ude med karantæne, mens Mads Aaquist er skadet. Kevin Conboy døjer lidt med en skade og starter på bænken. På bænken sidder også U19-spilleren Tobias Klysner, der kan få debut #randersfc #sldk [LINK]",[-5.4206767  5.9390883 -3.5194218],[1.1654073e-05 9.9991024e-01 7.8015728e-05]
11,positive,positive,TRUE,Fredagens Sikre valg fra den franske liga.. Så blev det weekend igen og foråret ser ud til virkelig at have taget godt fat i Danmark og det er jo noget der får humøret til at stige helt automatisk. [LINK],[-6.001323  -0.8270378  3.9795644],[4.5898614e-05 8.1089186e-03 9.9184519e-01]
12,positive,positive,TRUE,"@USER @USER Paludan er vanvittig,men det virkelig problem er at vi har mennesker i vores samfund, der ikke vil acceptere de helt grundlæggende friheder om retten til at ytrer sig. I et sekulært samfund, skal religion kun tåle at bliver hånet, latterliggjort og kritiseret i enhver form #dkpol",[-4.979117  -3.1390505  5.7164855],[2.2640559e-05 1.4256669e-04 9.9983478e-01]
13,neutral,neutral,TRUE,Hvad betyder politiske beslutninger for vores velfærd i de danske byer? Vi bidrager gerne med uafhængig byøkonomisk viden til dit #fmdk arrangement. #dkbiz #uddpol #dktrp #dkbolig #dkforsk. Kontakt:[LINK] [LINK],[-6.2342696   3.1997483  -0.08362144],[7.7061195e-05 9.6377957e-01 3.6143348e-02]
14,positive,neutral,MISS,Når man er på besøg på en anden afdeling af ens virksomhed og kollegerne der behandler en som en spændende ny livsform og med stor respekt. Det er sgu sjovt :-D #arbejde #menneskerersjove #tillidsvalgt #hygge,[-5.2372303 -3.1492558  5.8493223],[1.5314790e-05 1.2356826e-04 9.9986112e-01]
15,neutral,positive,MISS,"@USER I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[-5.1601124  6.213811  -4.027098 ],[1.1490724e-05 9.9995291e-01 3.5678699e-05]
16,negative,negative,TRUE,"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): [LINK] #dkpol #eudk [LINK]",[ 7.855907 -4.439227 -4.787731],[9.9999225e-01 4.5739134e-06 3.2280047e-06]
17,neutral,neutral,TRUE,"Hvis du ikke er i fanzonen og gerne vil høre @USER-live. Så kan du nå det endnu. I panelet er @USER, @USER, @USER og Kasper Fisker. Skynd dig💛💙 [LINK]",[-5.4013853  5.9625545 -3.5743797],[1.1605598e-05 9.9991632e-01 7.2131654e-05]
18,positive,positive,TRUE,"@USER @USER Ved ikke om det er fair eller ej, men som forbruger mener jeg det er fair nok. Kvickly vil også gerne selv sammenligne sig med andre. Så syntes jeg Rema er en del over discountniveauet. Jeg lægger også stortset alle indkøb i Rema og er iøvrigt tidligere Coop ansat 😉",[-4.818003  -3.9197152  6.272395 ],[1.5257315e-05 3.7462774e-05 9.9994731e-01]
19,neutral,negative,MISS,"@USER Men fair nok. Det er muligvis blevet bedre. Synes det, at det er underligt at sætte Messi under loop efter én gang, hvor han giver efter for de utallige svinestreger, han bliver udsat for. Jeg synes bestemt ikke det er kendetegnene for hans spil.",[-3.8214617  5.533718  -4.2247734],[8.6503635e-05 9.9985564e-01 5.7793408e-05]
20,neutral,neutral,TRUE,@USER @USER @USER Bekræfte hvad?,[-5.3099594  6.096077  -3.7974486],[1.1127422e-05 9.9993837e-01 5.0497452e-05]
21,negative,negative,TRUE,"Denne artikel om Socialdemokratiets (kommende?) kulturpolitik er blevet diskuteret grundigt de seneste dage. Det er skønt, at kulturpolitik, der ellers ofte er i bunden af vælgernes prioriterede... [LINK]",[ 8.301642 -4.896769 -4.869174],[9.9999619e-01 1.8535353e-06 1.9053970e-06]
22,neutral,neutral,TRUE,@USER @USER Har du et link?,[-5.0496125  6.260006  -4.1498375],[1.2253972e-05 9.9995756e-01 3.0133115e-05]
23,positive,positive,TRUE,"@USER @USER Uhh jeg er helt klar over grunden, det ændrer ikke på et grundfundament i et demokrati, er at, de folkevalgte stiller sig selv til rådighed for befolkningen igennem #dkmedier især når der er truffet upopulære beslutninger.",[-4.9005027 -3.9423819  6.3289366],[1.32768755e-05 3.46100533e-05 9.99952078e-01]
24,positive,neutral,MISS,"@USER Ej.. Nu må den ""jeg føler mig krænket""-plage, der har ramt landet, simpelthen stoppe!!! Kan ikke holde det ud.. Det er SATIRE.. Slå det op, læs om det, hvis I ikke forstår det..!!!",[-5.6571803 -1.742507   4.7302   ],[3.0770465e-05 1.5426071e-03 9.9842668e-01]
25,positive,neutral,MISS,"Virkeligheden kalder @USER
[LINK]
Lytter du?
225 timers reglen er utroligt stressende. Det skubber en stor andel længere væk fra job. Endda #ptsd ramte kan omfattet af 225 timers reglen! #Vejle 
#dksocial #225timer #365timer #kontanthjælpsloftet",[-4.4138856 -4.245098   6.257134 ],[2.3206685e-05 2.7473676e-05 9.9994934e-01]
